,,alt_sax_simple_base,slope_sax_simple_base,landcover_needle_sax_simple_base,landcover_herb_sax_simple_base,ph_sax_simple_base,carbon_sax_simple_base,sand_sax_simple_base,fragment_sax_simple_base,bio1_sax_simple_base,bio7_sax_simple_base,bio12_sax_simple_base,bio17_sax_simple_base,Env - Adjusted R-squared,East_Asia,Gulf_of_California_Xeric_scrub,Sierra_Madre_Oriental_Pine-Oak_Forests,Eastern_NA_and_Plains,Last_Glacial_Maximum,Great_Basin,Rocky_Mountains,BG - Adjusted R-squared
Node_39,Observed,-0.0290764622738,-0.0,0.0,0.0,-0.0,-0.000975732646263,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0428759434856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_19,Observed,0.0,0.00406884104114,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507716624794,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
Node_16,Observed,0.0,-0.0,-0.0,-0.0,0.00109364865877,0.0,0.0,0.0,0.0,-0.0,0.0017324649589,-0.0,-0.0519821951083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_32,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_13,Observed,-0.0879745534183,0.0,0.00120331135112,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0303346454666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_12,Observed,0.349622609437,0.0,-0.0,-0.0155120765591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_10,Observed,0.167877190337,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.000826032268806,-0.0339006165164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_97,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_95,Observed,0.293850649151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769378385639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_94,Observed,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02663347154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_91,Observed,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00731879021383,0.254071177042,-0.577056876219,0.577056876219,-0.577056876219,-0.577056876219,-0.577056876219,0.577056876219,0.374545082474
Node_90,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_99,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_100,Observed,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.058691559757,0.0,-0.390716533714,0.390716533714,-0.390716533714,-0.390716533714,0.390716533714,-0.390716533714,0.15799502517
Node_26,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189285006552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_102,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_123,Observed,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0725893753356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_106,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_107,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_108,Observed,0.116053985001,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.000106072231999,0.0,-0.0,0.00431081384704,0.0,-0.0998340871777,0.0998340871777,-0.0998340871777,-0.0998340871777,-0.0998340871777,0.0998340871777,0.00682508515339
Node_40,Observed,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.131490992745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_41,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_68,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_43,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_46,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_21,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_48,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_25,Observed,-0.258678925529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.950784346567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_27,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_35,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_47,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_84,Observed,0.128904170939,-0.0093854906539,0.0,-0.0104887664443,-0.0104887664443,-0.0104887664443,-0.0104887664443,-0.0104887664443,-0.0104887664443,-0.0104887664443,-0.0104887664443,-0.0104887664443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_87,Observed,0.262298339285,0.0140228855946,0.0140228855946,-0.0140228855946,-0.0140228855946,0.0140228855946,0.0140228855946,0.0140228855946,-0.0140228855946,-0.0140228855946,-0.0140228855946,0.0140228855946,0.0962137292912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_80,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_81,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_36,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_8,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_112,Observed,-0.337137980747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112638139722,0.0,0.0998087946363,0.0998087946363,0.0998087946363,0.0998087946363,0.0998087946363,-0.0998087946363,0.00582711127431
Node_117,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00500873204208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_120,Observed,0.247103166593,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0111612946806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_114,Observed,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.00699902844314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_7,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_6,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_119,Observed,0.157874156492,0.0,-0.00581955452903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0986457313006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_4,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_3,Observed,0.0568263396584,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.001030637946,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
Node_0,Observed,-0.291747410757,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.089919928462,0.29970549386,-0.354176051571,0.354176051571,-0.354176051571,-0.354176051571,-0.354176051571,-0.354176051571,0.131694750023
Node_51,Observed,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_50,Observed,0.0,-0.0674315181032,-0.0674315181032,-0.0674315181032,0.0,0.0,-0.0674315181032,-0.0674315181032,-0.0674315181032,-0.0674315181032,-0.0674315181032,-0.0674315181032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_79,Observed,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335584703051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_54,Observed,0.285787747658,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_77,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_58,Observed,0.0220919088843,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.120623966709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_71,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_5,Observed,0.55614290522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266979515542,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_72,Observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_39,F-values,0.625,0.385,0.382,0.362,0.351,0.226,0.343,0.345,0.341,0.355,0.165,0.337,0.364,0.996,0.974,0.972,0.974,0.972,0.972,0.973,1.0
Node_19,F-values,0.057,0.041,0.281,0.281,0.279,0.286,0.272,0.278,0.271,0.277,0.272,0.277,0.022,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Node_16,F-values,0.069,0.369,0.304,0.305,0.148,0.31,0.312,0.311,0.185,0.331,0.106,0.319,0.183,1.0,0.635,0.637,0.634,0.636,0.633,0.632,1.0
Node_32,F-values,1.0,0.445,0.41,0.403,0.44,0.418,0.432,0.415,0.429,0.425,0.407,0.427,1.0,1.0,0.75,0.751,0.749,0.748,0.749,0.747,1.0
Node_13,F-values,0.066,0.368,0.102,0.337,0.34,0.357,0.331,0.347,0.349,0.352,0.34,0.343,0.126,1.0,0.586,0.582,0.59,0.586,0.589,0.586,1.0
Node_12,F-values,0.044,0.0,0.431,0.218,0.433,0.0,0.109,0.113,0.432,0.334,0.433,0.44,0.069,0.644,0.559,0.524,0.517,0.526,0.517,0.514,0.618
Node_10,F-values,0.057,0.405,0.393,0.364,0.381,0.38,0.377,0.254,0.387,0.386,0.375,0.134,0.041,0.953,0.647,0.649,0.641,0.64,0.635,0.634,0.965
Node_97,F-values,1.0,0.334,0.288,0.304,0.318,0.298,0.296,0.302,0.315,0.303,0.296,0.307,1.0,0.983,0.662,0.657,0.659,0.655,0.658,0.651,0.996
Node_95,F-values,0.025,0.119,0.325,0.316,0.116,0.31,0.291,0.316,0.297,0.313,0.294,0.308,0.008,0.981,0.001,0.782,0.777,0.78,0.778,0.775,0.993
Node_94,F-values,1.0,0.348,0.33,0.317,0.342,0.339,0.322,0.322,0.321,0.313,0.33,0.339,0.363,0.984,0.0,0.651,0.646,0.645,0.643,0.644,0.995
Node_91,F-values,0.004,0.355,0.334,0.322,0.319,0.056,0.316,0.312,0.312,0.321,0.301,0.301,0.474,0.074,0.011,0.012,0.012,0.013,0.011,0.013,0.01
Node_90,F-values,1.0,0.363,0.319,0.335,0.324,0.324,0.333,0.295,0.315,0.338,0.306,0.324,1.0,0.988,0.639,0.639,0.634,0.633,0.635,0.632,0.998
Node_99,F-values,0.993,0.53,0.527,0.524,0.518,0.513,0.511,0.511,0.512,0.51,0.506,0.503,0.993,0.954,0.795,0.791,0.79,0.79,0.79,0.789,0.956
Node_100,F-values,0.142,0.529,0.418,0.379,0.391,0.386,0.394,0.394,0.38,0.386,0.391,0.378,0.003,0.011,0.008,0.008,0.008,0.009,0.008,0.008,0.008
Node_26,F-values,0.028,0.311,0.297,0.291,0.289,0.29,0.293,0.286,0.285,0.287,0.286,0.287,0.019,0.98,0.893,0.891,0.89,0.878,0.866,0.851,0.986
Node_102,F-values,0.993,0.478,0.475,0.471,0.471,0.472,0.472,0.474,0.473,0.471,0.473,0.473,0.993,0.969,0.867,0.862,0.859,0.853,0.852,0.851,0.97
Node_123,F-values,0.016,0.329,0.065,0.32,0.332,0.325,0.314,0.332,0.322,0.335,0.333,0.326,0.748,0.992,0.892,0.901,0.917,0.886,0.902,0.912,0.996
Node_106,F-values,0.981,0.363,0.349,0.345,0.345,0.337,0.338,0.341,0.339,0.341,0.334,0.335,0.98,0.917,0.914,0.899,0.898,0.899,0.891,0.886,0.907
Node_107,F-values,0.998,0.794,0.792,0.794,0.79,0.791,0.793,0.799,0.788,0.788,0.801,0.793,1.0,0.983,0.976,0.975,0.975,0.972,0.969,0.965,0.992
Node_108,F-values,0.026,0.694,0.693,0.678,0.682,0.685,0.678,0.684,0.685,0.372,0.686,0.675,0.027,0.01,0.18,0.182,0.182,0.181,0.182,0.181,0.171
